locality_name,region_name,price,value_per_sqft,area,construction_status,house_type,total_rooms,total_beds,new_resale,age
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
Hadapsar, Pune,14300000.0,11602,1241,Under Construction,Apartment,5,3,New,-2.0
Anandwalli Gaon, Nashik,4499000.0,4797,938,Ready to move,Apartment,4,2,New,2.5
Handewadi, Pune,4399000.0,5812,757,Under Construction,Apartment,4,2,New,-2.0
Ambernath West, Mumbai,2500000.0,5446,459,Under Construction,Apartment,3,1,New,0.0
Moshi, Pune,3604999.9999999995,6269,575,Under Construction,Apartment,3,1,New,0.0
Vikhroli, Mumbai,17500000.0,27821,629,Under Construction,Apartment,4,2,New,-1.0
Bhugaon, Pune,8600000.0,8182,1051,Under Construction,Apartment,5,3,New,-1.0
Sharanpur, Nashik,38900000.0,7500,5196,Under Construction,Independent House,7,5,New,0.0
Chembur, Mumbai,30500000.0,31000,984,Under Construction,Apartment,5,3,New,-2.0
Dombivali, Mumbai,4550000.0,9100,500,Under Construction,Apartment,4,2,New,-4.0
Kalyan East, Mumbai,7430000.0,10539,705,Under Construction,Apartment,4,2,New,-1.0
Kalyan East, Mumbai,3579999.9999999995,5500,651,Under Construction,Apartment,3,1,New,-1.0
Punawale, Pune,5750000.0,7646,752,Under Construction,Apartment,4,2,New,-3.0
Fursungi, Pune,2967000.0,8778,338,Ready to move,Apartment,3,1,New,5.5
Tarwala Nagar, Nashik,8499000.0,3761,2260,Under Construction,Apartment,6,4,New,-1.0
Dombivali, Mumbai,6790000.000000001,13580,500,Under Construction,Apartment,4,2,New,0.0
Wagholi, Pune,6030000.0,7811,773,Under Construction,Apartment,5,3,New,-3.0
Ambegaon Budruk, Pune,3536999.9999999995,7417,477,Ready to move,Apartment,3,1,New,0.5
Dombivali, Mumbai,9500000.0,10359,917,Under Construction,Apartment,5,3,New,-3.0
Ulhasnagar, Mumbai,4621000.0,8575,539,Under Construction,Apartment,4,2,New,-2.0
